obey,
obfuscate,
object,
objectify,
obligate,
oblige,
obliterate,
obscure,
observe,
obsess,
obstruct,
obtain,
occasion,
occupy,
occur,true,occur
off,
offend,
offer,false,offer
officialise,
officiate,
offload,
offshore,
ogle,
oil,
omit,true,omit
onboard,
ooze,
open,false,open
operate,
operationalise,
opine,
oppose,
oppress,
opt,
optimise,
orbit,false,orbit
orchestrate,
ordain,
order,false,order
organise,
orient,
orientate,
originate,
orphan,false,orphan
oscillate,
ostracise,
other,false,other
oust,
out,
outclass,true,out,class
outdate,true,out,date
outflank,true,out,flank
outfox,true,out,fox
outguess,true,out,guess
outgun,true,out,gun
outlast,true,out,last
outlaw,true,out,law
outline,false,out,line
outlive,true,out,live
outmatch,true,out,match
outnumber,true,out,number
outpace,true,out,pace
outperform,true,out,perform
outplay,true,out,play
outpoint,true,out,point
outpour,false,out,pour
outrage,false,out,rage
outsource,false,out,source
outsprint,false,out,sprint
outstretch,true,out,stretch
outstrip,true,out,strip
outwatch,true,out,watch
outweigh,true,out,weigh
outwit,true,out,wit
overbook,true,over,book
overburden,false,over,burden
overcharge,true,over,charge
overcollect,false,over,collect
overcomplicate,false,over,complicate
overconsume,true,over,consume
overcook,true,over,cook
overcrowd,true,over,crowd
overdose,false,over,dose
overdress,true,over,dress
overegg,true,over,egg
overestimate,false,over,estimate
overexploit,true,over,exploit
overexpose,true,over,expose
overextend,true,over,extend
overfill,true,over,fill
overfish,true,over,fish
overflow,true,over,flow
overhaul,true,over,haul
overheat,true,over,heat
overhunt,true,over,hunt
overhype,true,over,hype
overindulge,true,over,indulge
overinvest,true,over,invest
overjoy,true,over,joy
overlap,true,over,lap
overload,true,over,load
overlook,true,over,look
overlord,true,over,lord
overpolice,true,over,police
overpopulate,false,over,populate
overpower,false,over,power
overprice,true,over,price
overproduce,true,over,produce
overprotect,true,over,protect
overrate,true,over,rate
overreach,true,over,reach
overrepresent,true,over,represent
overrule,true,over,rule
overshadow,true,over,shadow
oversimplify,false,over,simplify
overstaff,true,over,staff
overstate,true,over,state
overstep,true,over,step
overstimulate,false,over,stimulate
overstretch,true,over,stretch
overstuff,true,over,stuff
oversubscribe,true,over,subscribe
overturn,true,over,turn
overuse,true,over,use
overvalue,true,over,value
overwhelm,true,over,whelm
overwork,true,over,work
ovulate,
ow,
owe,
own,
oxidise,
oxygenate,
